SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LL-3000,Hospitals,17646543,Interior Health Authority,17691083,100 Mile District General Hospital,Provides community hospital services.,17691087,17646849,2503957600,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=100 Mile District General Hospital&svc=&ploc=,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,555 Cedar Avenue South,,,,100 Mile House,BC,V0K 2E0,51.638105,-121.293555,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691083&SiteResourceAgencyNum=17646849
LL-3000,Hospitals,17650682,Island Health,17992347,Port McNeill Hospital,Provides community hospital services.,17691074,17650890,2509564461,http://www.viha.ca/locations/port_mcneill_district_hospital.htm,,N,,,2750 Kingcome Place,,,,Port Mcneill,BC,V0N 2R0,50.58026,-127.067379,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992347&SiteResourceAgencyNum=17650890
LL-3000,Hospitals,17644351,Fraser Health Authority,17992296,Langley Memorial Hospital,Provides community hospital services.,17691069,17644429,6045146000,www.fraserhealth.ca/find-us/hospitals/langley-memorial-hospital/langley-memorial-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,22051 Fraser Highway,,,,Langley,BC,V3A 4H4,49.093175,-122.613957,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992296&SiteResourceAgencyNum=17644429
LL-3000,Hospitals,17650682,Island Health,17691064,Port Hardy Hospital,Provides community hospital services.,17691067,17651090,2509026011,http://www.viha.ca/locations/port_hardy_hospital.htm,,N,,,9120 Granville Street,,,,Port Hardy,BC,V0N 2P0,50.720244,-127.503215,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691064&SiteResourceAgencyNum=17651090
LL-3000,Hospitals,17644351,Fraser Health Authority,17691002,Delta Hospital,Provides community hospital services.,17691017,17644361,6049461121,www.fraserhealth.ca/find-us/hospitals/delta-hospital/delta-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,5800 Mountain View Boulevard,,,,Delta,BC,V4K 3V6,49.08461,-123.059929,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691002&SiteResourceAgencyNum=17644361
LL-3000,Hospitals,17650682,Island Health,17691012,West Coast General Hospital,Provides community hospital services.,17691014,17650862,2507311370,http://www.viha.ca/locations/west_coast_general_hospital.htm,,N,,,3949 Port Alberni Highway,,,,Port Alberni,BC,V9Y 4S1,49.248801,-124.781792,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691012&SiteResourceAgencyNum=17650862
LL-3000,Hospitals,17646543,Interior Health Authority,17992321,South Okanagan General Hospital,Provides community hospital services.,17691921,17647101,2504985000,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=South Okanagan General Hospital&svc=&ploc=,,N,,Visiting Hours: 12:00 - 20:00 daily; Emergency Services: 24/7,911 McKinney Road,,,,Oliver,BC,V0H 1T3,49.184285,-119.53841,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992321&SiteResourceAgencyNum=17647101
LL-3000,Hospitals,17646543,Interior Health Authority,17992318,Queen Victoria Hospital,Provides community hospital services.,17691837,17646569,2508372131,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Queen Victoria Hospital&svc=&ploc=,,N,,Emergency Services: 24/7,1200 Newlands Road,,,,Revelstoke,BC,V0E 2S0,50.976799,-118.191902,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992318&SiteResourceAgencyNum=17646569
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992332,UBC Hospital - Purdy Pavilion,Provides community hospital services.,17691802,17649076,6048227121,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,2221 Wesbrook Mall,,,,Vancouver,BC,V6T 2B5,,,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992332&SiteResourceAgencyNum=17649076
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992332,UBC Hospital - Koerner Pavilion,Provides community hospital services.,17691800,17648975,6048227121,,,N,,"Mon 08:00 - 22:00; Tue 08:00 - 22:00; Wed 08:00 - 22:00; Thu 08:00 - 22:00; Fri 08:00 - 22:00; Sat 08:00 - 22:00; Sun 08:00 - 22:00; Urgent Care Centre Hours listed. Open visiting hours, number of visitors and length of visits may be limited based on patient or unit needs.",2211 Wesbrook Mall,,,,Vancouver,BC,V6T 1Z3,49.264159,-123.246319,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992332&SiteResourceAgencyNum=17648975
LL-3000,Hospitals,17646543,Interior Health Authority,17992335,Creston Valley Hospital,Provides community hospital services.,17691972,17647098,2504282286,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Creston Valley Hospital %and% Health Centre&svc=&ploc=,,N,,Visiting Hours: 11:00 - 20:00 daily; Emergency Services: 24/7,312 15th Avenue N,,,,Creston,BC,V0B 1G0,49.098702,-116.508309,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992335&SiteResourceAgencyNum=17647098
LL-3000,Hospitals,17652139,Northern Health Authority,17992337,Lakes District Hospital and Health Centre,Provides community hospital services.,17691942,17652667,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=10,,N,,,741 Centre Street,,,,Burns Lake,BC,V0J 1E0,54.235568,-125.760016,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992337&SiteResourceAgencyNum=17652667
LL-3000,Hospitals,17654593,Providence Health Care,17992345,St. Paul's Hospital - Providence Building,Provides community hospital services.,17691935,17654595,,www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,1081 Burrard Street,,,,Vancouver,BC,V6Z 1Y6,,,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992345&SiteResourceAgencyNum=17654595
LL-3000,Hospitals,17654593,Providence Health Care,17992345,St. Paul's Hospital - Providence II Building,Provides community hospital services.,17691933,17654598,,www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,1081 Burrard Street,,,,Vancouver,BC,V6Z 1Y6,49.279996,-123.127751,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992345&SiteResourceAgencyNum=17654598
LL-3000,Hospitals,17646543,Interior Health Authority,17992350,Princeton General Hospital,Provides community hospital services.,17691662,17647096,2502953233,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Princeton General Hospital&svc=&ploc=,,N,,Emergency Services:  Please call directly to verify hours of operation,98 Ridgewood Drive,,,,Princeton,BC,V0X 1W0,49.453436,-120.526235,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992350&SiteResourceAgencyNum=17647096
LL-3000,Hospitals,17652139,Northern Health Authority,17992320,Dawson Creek and District Hospital,Provides community hospital services.,17691659,17652143,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=16,,N,,,11100 13th Street,,,,Dawson Creek,BC,V1G 3W8,55.749057,-120.237333,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992320&SiteResourceAgencyNum=17652143
LL-3000,Hospitals,17646543,Interior Health Authority,17992348,Penticton Regional Hospital,Provides community hospital services.,17691646,17646582,2504924000,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Penticton Regional Hospital&svc=General Medicine&ploc=N/A,,N,,Emergency Services: 24/7,550 Carmi Avenue,,,,Penticton,BC,V2A 3G6,49.482657,-119.578687,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992348&SiteResourceAgencyNum=17646582
LL-3000,Hospitals,17646543,Interior Health Authority,17992291,Nicola Valley Hospital and Health Centre,Provides community hospital services.,17691635,17646747,2503782242,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Nicola Valley Hospital and Health Centre&svc=&ploc=,,N,,Emergency Services: 24/7,3451 Voght Street,,,,Merritt,BC,V1K 1C6,50.121468,-120.771016,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992291&SiteResourceAgencyNum=17646747
LL-3000,Hospitals,17652139,Northern Health Authority,17992301,Stuart Lake Hospital,Provides community hospital services.,17691631,17652340,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=21,,N,,,600 Stuart Drive East,,,,Fort St James,BC,V0J 1P0,54.442987,-124.245474,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992301&SiteResourceAgencyNum=17652340
LL-3000,Hospitals,17646543,Interior Health Authority,17992313,Lillooet Hospital and Health Centre,Provides community hospital services.,17691622,17646943,2502564233,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Lillooet Hospital %and% Health Centre&svc=General Medicine&ploc=N/A,,N,,Emergency Services: 24/7,951 Murray Street,,,,Lillooet,BC,V0K 1V0,50.689254,-121.939063,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992313&SiteResourceAgencyNum=17646943
LL-3000,Hospitals,17646543,Interior Health Authority,17691592,Kootenay Lake Hospital,Provides community hospital services.,17691594,17646896,2503523111,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kootenay Lake Hospital&svc=General Medicine&ploc=N/A,,N,,Visiting Hours: 12:00 - 20:00 daily; Emergency Services: 24/7,3 View Street,,,,Nelson,BC,V1L 2V1,49.495025,-117.284817,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691592&SiteResourceAgencyNum=17646896
LL-3000,Hospitals,17652139,Northern Health Authority,17992325,Northern Haida Gwaii Hospital and Health Centre,Provides community hospital services.,17691585,17652267,,https://northernhealth.ca/OurServices/Facilities.aspx?FacilityID=40,,N,,,2520 Harrison Avenue,,,,Masset,BC,V0T 1M0,54.012317,-132.151708,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992325&SiteResourceAgencyNum=17652267
LL-3000,Hospitals,17646543,Interior Health Authority,17691577,Kootenay Boundary Regional Hospital,Provides community hospital services.,17691582,17646551,2503683311,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kootenay Boundary Regional Hospital&svc=&ploc=,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,1200 Hospital Bench,,,,Trail,BC,V1R 4M1,49.10318,-117.70147,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691577&SiteResourceAgencyNum=17646551
LL-3000,Hospitals,17646543,Interior Health Authority,17691557,Golden and District General Hospital,Provides community hospital services.,17691560,17647105,2503445271,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Golden %and% District Hospital&svc=General Medicine&ploc=N/A,,N,,Visiting Hours: 11:00 - 20:00 daily; Emergency Services: 24/7,835 9th Avenue South,,,,Golden,BC,V0A 1H0,51.296792,-116.967372,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691557&SiteResourceAgencyNum=17647105
LL-3000,Hospitals,17646543,Interior Health Authority,17691571,Invermere and District Hospital,Provides community hospital services.,17691573,17647103,2503429201,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Invermere %and% District Hospital&svc=&ploc=,,N,,Visiting Hours: 11:00 - 20:00 daily; Emergency Services: 24/7,850 10th Avenue,,,,Invermere,BC,V0A 1A0,50.506722,-116.033417,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691571&SiteResourceAgencyNum=17647103
LL-3000,Hospitals,17652139,Northern Health Authority,17691450,Haida Gwaii Hospital and Health Centre,Provides community hospital services.,17691468,17652557,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=62,,N,,,3209 Oceanview Drive,,,,Queen Charlotte,BC,V0T 1S0,53.254681,-132.070845,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691450&SiteResourceAgencyNum=17652557
LL-3000,Hospitals,17646543,Interior Health Authority,17691446,Elk Valley Hospital,Provides community hospital services.,17691448,17646590,2504234453,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Elk Valley Hospital&svc=General Medicine&ploc=N/A,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,1501 5th Avenue,,,,Fernie,BC,V0B 1M0,49.51284,-115.0566,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691446&SiteResourceAgencyNum=17646590
LL-3000,Hospitals,17646543,Interior Health Authority,17691430,East Kootenay Regional Hospital,Provides community hospital services.,17691436,17646893,2504265281,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=East Kootenay Regional Hospital&svc=&ploc=,,N,,Visiting Hours: 13:00 - 20:00 daily; Emergency Services: 24/7,13 24th Avenue N,,,,Cranbrook,BC,V1C 3H9,49.512483,-115.748688,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691430&SiteResourceAgencyNum=17646893
LL-3000,Hospitals,17644351,Fraser Health Authority,17992344,Surrey Memorial Hospital,Provides community hospital services.,17691393,17644365,6045812211,www.fraserhealth.ca/find-us/hospitals/surrey-memorial-hospital,,N,,,13750 96th Avenue,,,,Surrey,BC,V3V 1Z2,49.177003,-122.842316,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992344&SiteResourceAgencyNum=17644365
LL-3000,Hospitals,17644351,Fraser Health Authority,17992306,Royal Columbian Hospital,Provides community hospital services.,17691389,17644420,6045204253,www.fraserhealth.ca/find-us/hospitals/royal-columbian-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,330 East Columbia Street,,,,New Westminster,BC,V3L 3W7,49.22679,-122.892844,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992306&SiteResourceAgencyNum=17644420
LL-3000,Hospitals,17650682,Island Health,17992316,Saanich Peninsula Hospital,Provides community hospital services.,17691383,17650866,2505447676,http://www.viha.ca/locations/saanich_peninsula_hospital.htm,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,2166 Mount Newton Cross Road,,,,Saanichton,BC,V8M 2B2,48.594199,-123.411323,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992316&SiteResourceAgencyNum=17650866
LL-3000,Hospitals,17644351,Fraser Health Authority,17992342,Ridge Meadows Hospital,Provides community hospital services.,17691381,17644363,6044634111,www.fraserhealth.ca/find-us/hospitals/ridge-meadows-hospital,,N,,Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Sat 11:00 - 20:00; Sun 11:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.,11666 Laity Street,,,,Maple Ridge,BC,V2X 7G5,49.214787,-122.631951,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992342&SiteResourceAgencyNum=17644363
LL-3000,Hospitals,17650682,Island Health,17691164,Lady Minto/Gulf Islands Hospital,Provides community hospital services.,17691376,17650864,2505384800,http://www.viha.ca/locations/lady_minto_gulf_islands_hospital.htm,,N,,,135 Crofton Road,,,,SaltSpring Island,BC,V8K 1T1,48.861445,-123.508599,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691164&SiteResourceAgencyNum=17650864
LL-3000,Hospitals,17644351,Fraser Health Authority,17992309,Peace Arch Hospital,Provides community hospital services.,17691358,17644418,6045315512,www.fraserhealth.ca/find-us/hospitals/peace-arch-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,15521 Russell Avenue,,,,White Rock,BC,V4B 2R4,49.029793,-122.793632,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644418
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Willow Pavilion,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17691308,17650165,6048754111,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,805 West 12th Avenue,,,,Vancouver,BC,V5Z 1M9,49.26051,-123.122,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17650165
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Jim Pattison Pavilion,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17691302,17648978,6048754111,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,899 West 12th Avenue,,,,Vancouver,BC,V5Z 1M9,49.260558,-123.124094,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17648978
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Health Centre,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17691300,17649004,6048754111,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,715 West 12th Avenue,,,,Vancouver,BC,V5Z 1N1,49.26052,-123.120849,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17649004
LL-3000,Hospitals,17646543,Interior Health Authority,17992329,Kelowna General Hospital,Provides community hospital services.,17690851,17646738,2508624000,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kelowna General Hospital&svc=&ploc=,,N,,Emergency Services: 24-7,2268 Pandosy Street,,,,Kelowna,BC,V1Y 1T2,49.873281,-119.491273,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992329&SiteResourceAgencyNum=17646738
LL-3000,Hospitals,17654593,Providence Health Care,49430168,Holy Family Hospital,Provides community hospital services.,49430175,17654610,,http://www.providencehealthcare.org/hospitals-residences/holy-family-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,7801 Argyle Street,,,,Vancouver,BC,V5P 3L6,49.213701,-123.072034,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=49430168&SiteResourceAgencyNum=17654610
LL-3000,Hospitals,17650682,Island Health,55347966,North Island Hospital Comox Valley,Provides community hospital services.,55347969,55347959,2503315900,http://www.viha.ca/locations/north_island_hospital_comox_valley.html,,N,,,101 Lerwick Road,,,,Courtenay,BC,V9N 0B9,0,-90,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=55347966&SiteResourceAgencyNum=55347959
